Designator, Mid X, Mid Y, Layer, Rotation
LED377, 71.12, 47.63, 0.00, , LED_0805
LED378, 73.98, 47.63, 0.00, , LED_0805
LED379, 76.84, 47.63, 0.00, , LED_0805
LED38, 16.83, 92.08, 0.00, , LED_0805
LED380, 79.69, 47.63, 0.00, , LED_0805
LED381, 82.55, 47.63, 0.00, , LED_0805
LED382, 85.41, 47.63, 0.00, , LED_0805
LED383, 88.27, 47.63, 0.00, , LED_0805
LED384, 91.12, 47.63, 0.00, , LED_0805
LED39, 19.69, 92.08, 0.00, , LED_0805
LED4, 11.11, 96.52, 0.00, , LED_0805
LED40, 22.54, 92.08, 0.00, , LED_0805
LED41, 25.40, 92.08, 0.00, , LED_0805
LED42, 28.26, 92.08, 0.00, , LED_0805
LED43, 31.12, 92.08, 0.00, , LED_0805
LED44, 33.97, 92.08, 0.00, , LED_0805
LED45, 36.83, 92.08, 0.00, , LED_0805
LED46, 39.69, 92.08, 0.00, , LED_0805
LED47, 42.55, 92.08, 0.00, , LED_0805
LED48, 45.40, 92.08, 0.00, , LED_0805
LED49, 48.26, 92.08, 0.00, , LED_0805
LED5, 13.97, 96.52, 0.00, , LED_0805
LED50, 51.12, 92.08, 0.00, , LED_0805
LED51, 53.98, 92.08, 0.00, , LED_0805
LED52, 56.83, 92.08, 0.00, , LED_0805
LED53, 59.69, 92.08, 0.00, , LED_0805
LED54, 62.55, 92.08, 0.00, , LED_0805
LED55, 65.41, 92.08, 0.00, , LED_0805
LED56, 68.26, 92.08, 0.00, , LED_0805
LED57, 71.12, 92.08, 0.00, , LED_0805
LED58, 73.98, 92.08, 0.00, , LED_0805
LED59, 76.84, 92.08, 0.00, , LED_0805
LED6, 16.83, 96.52, 0.00, , LED_0805
LED60, 79.69, 92.08, 0.00, , LED_0805
LED61, 82.55, 92.08, 0.00, , LED_0805
LED62, 85.41, 92.08, 0.00, , LED_0805
LED63, 88.27, 92.08, 0.00, , LED_0805
LED64, 91.12, 92.08, 0.00, , LED_0805
LED65, 2.54, 87.63, 0.00, , LED_0805
LED66, 5.40, 87.63, 0.00, , LED_0805
LED67, 8.26, 87.63, 0.00, , LED_0805
LED68, 11.11, 87.63, 0.00, , LED_0805
LED69, 13.97, 87.63, 0.00, , LED_0805
LED7, 19.69, 96.52, 0.00, , LED_0805
LED70, 16.83, 87.63, 0.00, , LED_0805
LED71, 19.69, 87.63, 0.00, , LED_0805
LED72, 22.54, 87.63, 0.00, , LED_0805
LED73, 25.40, 87.63, 0.00, , LED_0805
LED74, 28.26, 87.63, 0.00, , LED_0805
LED75, 31.12, 87.63, 0.00, , LED_0805
LED76, 33.97, 87.63, 0.00, , LED_0805
LED77, 36.83, 87.63, 0.00, , LED_0805
LED78, 39.69, 87.63, 0.00, , LED_0805
LED79, 42.55, 87.63, 0.00, , LED_0805
LED8, 22.54, 96.52, 0.00, , LED_0805
LED80, 45.40, 87.63, 0.00, , LED_0805
LED81, 48.26, 87.63, 0.00, , LED_0805
LED82, 51.12, 87.63, 0.00, , LED_0805
LED83, 53.98, 87.63, 0.00, , LED_0805
LED84, 56.83, 87.63, 0.00, , LED_0805
LED85, 59.69, 87.63, 0.00, , LED_0805
LED86, 62.55, 87.63, 0.00, , LED_0805
LED87, 65.41, 87.63, 0.00, , LED_0805
LED88, 68.26, 87.63, 0.00, , LED_0805
LED89, 71.12, 87.63, 0.00, , LED_0805
LED9, 25.40, 96.52, 0.00, , LED_0805
LED90, 73.98, 87.63, 0.00, , LED_0805
LED91, 76.84, 87.63, 0.00, , LED_0805
LED92, 79.69, 87.63, 0.00, , LED_0805
LED93, 82.55, 87.63, 0.00, , LED_0805
LED94, 85.41, 87.63, 0.00, , LED_0805
LED95, 88.27, 87.63, 0.00, , LED_0805
LED96, 91.12, 87.63, 0.00, , LED_0805
LED97, 2.54, 83.19, 0.00, , LED_0805
LED98, 5.40, 83.19, 0.00, , LED_0805
LED99, 8.26, 83.19, 0.00, , LED_0805
